track_id,track_name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
4aLsggi5JL0YD8AmaSENHU,GOT'YA,GOT'YA,ICHILLIN',2021-09-08,198186,29,0.726,0.0215,0.922,0.157,0.0407,-2.441,0.113,154.928,4
56s2s5e8WuBsWVKnmz6J9L,BEAUTIFUL MONSTER,WE NEED LOVE,STAYC,2022-07-19,180000,56,0.594,0.121,0.647,0.0,0.352,-4.347,0.0834,82.321,4
5ZbwJYmRtJe5Uy9nFkki8W,Drippin',We Go Up,NCT DREAM,2018-09-03,197773,55,0.715,0.197,0.89,0.0,0.164,-5.944,0.175,144.951,4
5MYdcegiD7t4fgp8YEdyGD,You're So Fly,Move,BTOB,2014-09-29,206106,28,0.818,0.102,0.889,0.0,0.366,-1.359,0.0793,115.976,4
0nW8KgIzm3Q6DCLHUtEHDh,Save,Save,NCT 127,2021-06-04,201960,43,0.702,0.00669,0.688,2.58e-06,0.578,-4.265,0.0898,125.95,4
4koDrJbYxIlcDY4gu2a4I8,WHO DO U LOVE? (feat. French Montana),ALL ABOUT LUV,MONSTA X,2020-02-13,189035,47,0.79,0.288,0.648,0.0,0.117,-5.622,0.247,101.989,4
2oqbLpgVM4sCN34TeNBYEP,LUV,Pink LUV + Blossom,Apink,2015-10-02,238920,0,0.735,0.0511,0.911,0.0,0.074,-3.282,0.0437,103.978,4
0F3Dpp18yIxIm7XRmn0LBj,Spine Breaker,Skool Luv Affair,BTS,2014-02-12,238529,61,0.679,0.164,0.927,0.0,0.437,-1.058,0.15,93.989,4
7MC2mQvMmir9PM3nAe2SuW,nostalgic night,nostalgia,VICTON,2019-11-04,195733,41,0.576,0.192,0.869,0.0,0.594,-2.695,0.0898,140.033,4
2RBuzNyLuV1jXU8qi84Hiy,All of My Days,"Crash Landing on You (Original Television Soundtrack), Pt. 8",KIMSEJEONG,2020-02-01,238893,56,0.495,0.879,0.388,0.0,0.309,-5.236,0.0424,69.694,4
4Qph4A9VjmB9c5W1XFoWY4,ODD-VENTURE,ODD-VENTURE,MCND,2023-11-22,195760,30,0.644,0.0504,0.938,0.0,0.371,-3.234,0.0655,92.545,4
0I952Ff5CiRpdtfpSGUuA9,TA,GO LIVE,Stray Kids,2020-06-17,208657,0,0.639,0.00262,0.957,0.0,0.367,-3.157,0.236,126.031,4
3lVDbZn6N1vOizsx22rNLX,So Fly,MAVE: 1st EP 'What's My Name',MAVE:,2023-11-30,162893,29,0.735,0.199,0.859,0.0,0.367,-2.639,0.0551,139.943,4
1xfu5RELA5t2E2KeOG2ePD,How Do You Think,Q,CHEEZE,2016-06-16,205693,32,0.877,0.491,0.516,0.0,0.0908,-6.045,0.0341,100.965,4
2KnNV0Ahhb5qkK83LKymZE,Light,TREASURE EP.2 : Zero To One,ATEEZ,2019-01-15,218822,46,0.69,0.267,0.716,0.0,0.0996,-5.136,0.0874,78.023,4
4Kw1ykVLHoFQxOPSVd8R2E,Like A Dream,"Lovely Runner, Pt. 3 (Original Soundtrack)",MINNIE,2024-04-16,249217,70,0.539,0.321,0.517,0.0,0.181,-5.244,0.0282,132.319,4
2SKBwYW23iHoB7CrYSeyC9,Hold Me Tight,The Most Beautiful Moment in Life Pt.1,BTS,2015-04-29,274991,59,0.622,0.0511,0.728,0.0,0.171,-5.111,0.286,139.994,4
1COXMzXT4JxnQCePCeptPP,ALL IN,ALL IN,Stray Kids,2020-10-27,187186,54,0.74,0.0392,0.834,0.0,0.0568,-5.751,0.293,139.961,4
5hcO4JPFMFgQ5edWGhhhaG,괴도 (Danger),ACE - The 1st Mini Album,TAEMIN,2014-08-19,191453,49,0.732,0.0295,0.743,0.0,0.0644,-3.765,0.172,114.051,4
0nVQUr1Q4P6YTkv6KLdGU4,Tweaks ~ Heavy cloud but no rain,the Keys,GWSN,2020-04-28,227367,32,0.721,0.128,0.791,1.08e-06,0.245,-5.34,0.109,118.987,4
6ulJY8ia7SDCPO4Lnge1Pu,Wishing On You,ZONE,JIHYO,2023-08-18,194320,54,0.749,0.583,0.616,0.0,0.13,-5.354,0.0503,126.058,4
4kaY4LbdbomICC25gYGGtn,IF YOU,MADE,BIGBANG,2016-12-13,264215,58,0.672,0.521,0.46,0.0,0.144,-6.213,0.0292,141.822,4
7fEMfYZnjQ28Cpzi7QnkAC,SAY YOU LOVE ME,YES or YES,TWICE,2018-11-05,212866,44,0.792,0.308,0.889,1.62e-06,0.0685,-2.126,0.0706,134.995,4
1jk8Z2HnpDQunRqnSv1Xb8,Once Again 여름 방학,NCT #127 - The 1st Mini Album,NCT 127,2016-07-10,189774,36,0.598,0.0756,0.793,0.0,0.324,-3.871,0.0729,94.042,4
4eqHEzFsCCiGALC1MHbqnU,Coffee,"O!RUL8,2?",BTS,2013-09-11,260433,63,0.656,0.00862,0.798,0.0,0.321,-6.608,0.103,92.031,4
2kHntOK23nfbIFVn6xInNK,Euratcha!,Sequence : 7272,CSR,2022-07-28,187173,30,0.652,0.00854,0.938,0.0328,0.0315,-1.651,0.0395,117.031,4
5G0mUWDldd0QhwB4SkGzFB,Quest,Dear OHMYGIRL,OH MY GIRL,2021-05-10,208586,21,0.889,0.333,0.547,9.36e-06,0.165,-2.855,0.107,139.978,4
0tyqDjYD0QStf8PS90nUfF,LEOPARD,NIRVANA II,RAVI,2019-08-29,172986,0,0.861,0.246,0.884,0.0,0.103,-2.591,0.0392,124.078,4
7KZThhMaRjQpB9x6yIJvZ8,Mother Nature (H₂O),Mother Nature (H₂O),IU,2022-01-27,232586,44,0.337,0.865,0.268,0.0,0.0832,-8.838,0.0305,91.434,4
7JF6USn1d7oBnjITCKtSHp,Love Song,World Peace Project Vol.2,Wonstein,2022-10-21,220040,40,0.446,0.207,0.786,0.0,0.23,-4.562,0.33,179.608,4
1kfEJ0w6qRZR9dIOWJGe0J,Whatcha Doin',Whatcha Doin',YESUNG,2018-12-17,209808,32,0.553,0.622,0.889,0.0,0.0851,-3.387,0.241,99.329,4
68idg4PzurcgvxS39wnWmF,Da Ra Da,Da Ra Da,Whee In,2017-06-05,237369,0,0.393,0.695,0.36,0.0,0.176,-7.14,0.0317,78.697,4
0QtaaIaZRBGazjLBBuZrZ4,NITRO,THE ANSWER,PARK JI HOON,2022-10-12,209560,33,0.674,0.114,0.686,0.0,0.199,-5.213,0.0484,99.991,4
0pYacDCZuRhcrwGUA5nTBe,eight(Prod.&Feat. SUGA of BTS),eight,IU,2020-05-06,167573,69,0.676,0.115,0.869,0.0,0.132,-1.573,0.0423,120.029,4
2bChloJZGv8ezvRhC7e2la,I MY ME MINE,IMMM,ILY:1,2024-04-04,195626,38,0.879,0.0673,0.93,0.0,0.0839,-2.113,0.039,127.983,4
6t9nnPyEZfjcn1aLJ4l9AK,When We Disco,When We Disco,J.Y. Park,2020-08-12,224387,0,0.678,0.00283,0.912,0.0,0.319,-3.45,0.0293,131.947,4
3cw6T3OEgqLiqEDLDQPSnE,Cherish,I've IVE,IVE,2023-04-10,194680,55,0.853,0.306,0.654,4.71e-06,0.11,-5.312,0.0669,112.997,4
0ePDb0b1tMQlqP9u58pmcg,Habit,SEVENTEEN 4th Mini Album ‘Al1’,SEVENTEEN,2017-05-22,253200,55,0.438,0.649,0.46,0.0,0.0881,-6.95,0.0457,171.806,3
3utoyXrzB3d8ahf4tqazTs,Beautiful,THE CLAN pt.2.5 [BEAUTIFUL],MONSTA X,2017-03-21,204009,47,0.62,0.163,0.906,0.0,0.214,-2.951,0.139,154.002,4
4mgkQnzI5XlVYgXoJGySwc,GOTCHA,MESSAGE,PARK JI HOON,2020-11-04,204866,37,0.674,0.0255,0.868,0.0,0.181,-2.617,0.0459,143.063,4
3t723PlEADna6GjgquoMRW,Dance The Night Away,Summer Nights,TWICE,2018-07-09,180800,0,0.711,0.106,0.861,4.4e-05,0.113,-2.905,0.0924,118.004,4
2KwOuFfwQyT9mZqjvchd81,Ay-Yo,Ay-Yo - The 4th Album Repackage,NCT 127,2023-01-30,221493,53,0.753,0.00629,0.845,0.0,0.317,-2.751,0.121,90.002,4
0ZsRFf3jsn4MvGHUoIcKLy,ODD Front,Max & Match,LOOΠΔ / ODD EYE CIRCLE,2017-10-31,225733,37,0.632,0.0346,0.806,2.87e-06,0.116,-4.317,0.0417,140.005,4
6MxIazgQENgaa6StpFxGpu,Maybe if,"Our Beloved Summer (Original Television Soundtrack), Pt. 2",BIBI,2021-12-13,209600,54,0.593,0.699,0.437,0.0,0.0919,-7.098,0.0552,121.662,4
7oQh96s9YemWG3A4zkIbrU,pporappippam,pporappippam,SUNMI,2020-06-29,206616,51,0.714,0.0513,0.828,0.0652,0.0347,-4.68,0.0428,120.014,4
1XxT5GxDa5GD8hnhTK2AD6,Dolls,DOLLS,9MUSES,2013-01-24,206497,41,0.644,0.109,0.928,1.69e-06,0.22,-2.662,0.0954,110.011,4
3UFJPOdPj2U6XRDQKZ55l5,LURE,Off The Beat,I.M,2024-04-03,170453,61,0.818,0.0794,0.582,0.00331,0.111,-7.433,0.0395,110.053,4
2aSoUIBolhj734OqGn5ave,About Love,Perfect Velvet - The 2nd Album,Red Velvet,2017-11-17,205974,40,0.611,0.162,0.82,0.0,0.17,-3.838,0.204,191.908,4
3mKK73NhylzXdHV4qZGxI4,Why So Lonely,Why So Lonely,Wonder Girls,2016-07-05,206706,0,0.634,0.111,0.726,0.0,0.111,-5.086,0.133,155.161,4
4a9tbd947vo9K8Vti9JwcI,Boy With Luv (feat. Halsey),MAP OF THE SOUL : PERSONA,BTS,2019-04-12,229773,75,0.645,0.0933,0.862,0.0,0.193,-4.761,0.0845,119.947,4
3VrAQzhFpUX0RGRqcOATd0,You're Sexy I'm Sexy,Before We Begin,Eric Nam,2019-11-14,187200,45,0.812,0.111,0.721,0.0,0.0917,-4.547,0.0766,109.971,4
